排名,大学名称,标签,省份,类型,总分
1,清华大学,双一流 | 985 | 211,北京,综合,1076.1
2,北京大学,双一流 | 985 | 211,北京,综合,1027.7
3,浙江大学,双一流 | 985 | 211,浙江,综合,868.9
4,上海交通大学,双一流 | 985 | 211,上海,综合,851.7
5,复旦大学,双一流 | 985 | 211,上海,综合,788.4
6,南京大学,双一流 | 985 | 211,江苏,综合,707.8
7,中国科学技术大学,双一流 | 985 | 211,安徽,理工,637.0
8,武汉大学,双一流 | 985 | 211,湖北,综合,629.2
9,华中科技大学,双一流 | 985 | 211,湖北,综合,628.9
10,西安交通大学,双一流 | 985 | 211,陕西,综合,598.5
11,北京航空航天大学,双一流 | 985 | 211,北京,理工,585.4
12,中山大学,双一流 | 985 | 211,广东,综合,585.2
13,北京理工大学,双一流 | 985 | 211,北京,理工,582.4
14,哈尔滨工业大学,双一流 | 985 | 211,黑龙江,理工,576.4
15,四川大学,双一流 | 985 | 211,四川,综合,576.3
16,东南大学,双一流 | 985 | 211,江苏,综合,575.0
17,中国人民大学,双一流 | 985 | 211,北京,综合,558.0
18,同济大学,双一流 | 985 | 211,上海,综合,547.7
19,北京师范大学,双一流 | 985 | 211,北京,师范,543.8
20,天津大学,双一流 | 985 | 211,天津,理工,528.5
21,西北工业大学,双一流 | 985 | 211,陕西,理工,513.7
22,山东大学,双一流 | 985 | 211,山东,综合,513.4
23,南开大学,双一流 | 985 | 211,天津,综合,512.2
24,厦门大学,双一流 | 985 | 211,福建,综合,504.8
25,中国农业大学,双一流 | 985 | 211,北京,农业,499.2
26,吉林大学,双一流 | 985 | 211,吉林,综合,486.0
27,中南大学,双一流 | 985 | 211,湖南,综合,485.3
28,大连理工大学,双一流 | 985 | 211,辽宁,理工,469.5
29,湖南大学,双一流 | 985 | 211,湖南,综合,466.4
30,华东师范大学,双一流 | 985 | 211,上海,师范,460.1
